entity,CM,ARR,CHD,VD,IHD,CCD,VOO,OTH
P17677,5.221547448916742e-05,0.0012051571833118313,0.0,0.0,0.0007499561899288718,2.28720747804574e-05,0.0,6.937176628612024e-06
Q99727,8.946856856889055e-07,2.3408071758796653e-06,0.0,0.0,3.636245578511751e-06,0.0,0.0,0.0
Q9BZF1,4.493435157811179e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y4P1,1.5031769349768572e-05,0.0,0.0,0.0,2.4032652420698266e-05,0.0,0.0,0.0
Q9UEE9,0.0,0.0,0.0,1.9406839431970715e-05,3.032820877308687e-05,0.0,0.0,0.0
Q99969,0.0019961997823009295,0.00015748103658515538,0.00039080541188883097,0.0002752367959785803,0.01387310695485412,0.0,2.9076796125887847e-05,0.00034344618837660546
O60885,0.0013246352998856506,0.0,0.0,0.0,0.0006179452684373197,0.0,0.0,0.0017244902789844082
P52945,0.0,0.0,1.927329209359831e-06,3.242111643574173e-06,7.239629741600326e-07,0.0,9.52067657842575e-06,0.0
P28749,8.947007772769481e-07,2.3408466606933273e-06,0.0,0.0,0.0,0.0,0.0,1.3900425287358695e-06
P53007,0.0,1.4008871606659565e-05,5.124769937124697e-05,0.0,2.2927930556002467e-06,4.3427543415477536e-05,0.0,0.0
P38484,0.0,0.0,1.1546341515983749e-05,0.0,4.339990255305764e-06,0.0,0.0,0.0
P49795,0.0,0.0,0.0,0.0,3.6364193973789617e-06,0.0,0.0,0.0
Q53EL6,0.0010141543486089336,0.0,0.0,1.6134575027177565e-05,0.0019552145259317684,0.0,9.438894181674661e-06,0.00020888504810590228
Q96NL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3901089763088612e-06
P51787,0.0007219653686970433,0.10310965035628183,0.000210958340869916,0.000501223635633927,0.00029620377216827727,0.18891057805817446,0.0,0.0038648633146237316
O60895,0.00018063934812064187,0.0,0.0,0.0,6.824379966860605e-05,0.0,0.0,0.0006383471276022495
Q8NBP7,4.477484036631754e-06,0.0,0.0,1.6219046646573853e-05,0.0011303960684681535,0.0,9.488310957480234e-06,0.0
P17661,0.07075360355799608,0.03413974640571884,0.002522731315751463,0.0050862405993119305,0.00277611477166415,0.015546029250258267,6.625301811156736e-05,0.0318808534700276
Q8N6Q3,1.1540325057772909e-05,0.0,0.0,0.0,1.3432019934477791e-05,0.0,0.0,0.0
Q8IVT2,8.947494926581655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P02741,0.045190538979498575,0.07455427227535434,0.005729228679716994,0.023291674780463033,0.1613539772324142,0.01135266576533976,0.026013107963160045,0.036325650282364765
Q13425,0.0,0.0,0.0,0.0,0.0,7.278328846221751e-06,0.0,0.0
Q8WTS1,0.00044800555797062084,3.007118224796175e-05,0.0,0.0,2.2893345238385828e-06,9.294302965058717e-05,0.0,2.3293449144815434e-05
Q96PU8,4.493112238652068e-06,0.0,0.0,0.0,8.681380888999206e-06,0.0,0.0,0.0
P48023,0.0004266104571859009,4.758111257737349e-05,1.9194727081475075e-06,0.0,0.0007498732641910135,0.0,0.0,2.9810595418409555e-05
O14965,0.0,0.0,1.1546756350876796e-05,0.0,0.0,0.0,0.0,0.0
P01210,0.0007503569728209958,0.0,0.0,0.0,9.325041438718086e-05,0.0,0.0,2.0376313609378076e-05
Q07812,1.0727145158754145e-05,0.0,0.0,0.0,8.681025824213951e-06,0.0,0.0,0.0
P41182,2.8333235089282352e-06,0.0,0.00010422283520670724,0.0,6.876217770726589e-06,0.0,0.0,0.0
O95425,8.947387663989696e-07,0.0,0.0,0.0,7.240862623168766e-07,0.0,0.0,0.0
Q15648,5.361124376656167e-06,0.0,0.00010430516696676483,0.0,0.0,0.0,0.0,0.0
Q96F46,4.223641931153743e-05,0.0,0.0,0.0,7.238716009103814e-07,0.0,0.0,1.7917248111901973e-05
Q5VZ89,0.0,0.0,0.0,0.0,3.563092599125507e-05,0.0,0.0,0.0
Q9UHR5,8.947387663989696e-07,0.0,0.0,0.0,7.240862623168766e-07,0.0,0.0,0.0
Q8IWT0,6.262658674957623e-05,6.938534626202993e-05,1.9264168655139063e-06,0.0,1.215980800522511e-05,0.0,0.0,0.0
Q9NZQ7,0.00013666255823844184,2.3394005142111776e-06,0.0,0.0,0.0,7.2739687946506435e-06,0.0,0.0
P57059,4.490664553924569e-06,2.339457280253226e-06,0.0,0.0,3.6341486300515475e-06,0.0,0.0,0.00013667681433823643
Q58FF3,3.078546502919982e-05,0.0,0.0002119881354256145,0.0,2.491568692711067e-05,0.0,0.0,0.0
